component_id,name,type,file,last_changed,change_summary,dep_count,consumer_count,export_date
api_chat,/api/chat,endpoint,faithh_professional_backend_fixed.py,2026-04-03,Auto mode uses get_optimal_model_for_query; shared route via run_llm_route_with_pin; optional ollama_num_ctx for context window tests.,5,2,2026-04-07
api_health,/api/health,endpoint,faithh_professional_backend_fixed.py,2026-04-04,Rate limiter None-safe; cache hit-rate warning gated; connection_monitor optional services + Chroma v2 heartbeat.,4,4,2026-04-07
api_plc_state,/api/plc/state,endpoint,faithh_professional_backend_fixed.py,2026-04-08,"Canonical ecosystem snapshot: registry + project_status + faithh_status; main UI, cockpit, and in-repo maintenance scripts consume this endpoint.",3,8,2026-04-07
llm_route,run_llm_route_with_pin,function,backend/llm_providers.py,2026-04-03,Ollama health gate for simple-local; provider order from build_provider_order.,4,1,2026-04-07
auto_model_selector,get_optimal_model_for_query,function,backend/llm_providers.py,2026-04-06,/api/chat auto mode (model=auto or omitted) picks provider+model here: doc-grounded → Ollama gen5-delta; complex → OLLAMA_COMPLEX_MODEL (default deepseek-r1:32b); creative → Gemini when key set else O,3,1,2026-04-07
connection_monitor,ConnectionMonitor,class,backend/connection_monitor.py,2026-04-04,No backend self-probe; optional chroma/groq/gemini; Chroma /api/v2/heartbeat; overall_status from required services only.,4,1,2026-04-07
security_middleware,SecurityMiddleware,class,backend/security_middleware.py,2026-04-03,get_security_stats and validate_request tolerate rate_limiter=None when limiting disabled.,1,2,2026-04-07
response_cache,ResponseCache,class,backend/cache.py,2026-04-04,total_requests exposed in stats; health uses min-query gate for low hit-rate warning.,0,3,2026-04-07
api_rag_search,/api/rag_search,endpoint,faithh_professional_backend_fixed.py,2026-04-07,Standalone POST endpoint; main UI toggles RAG via use_rag on /api/chat (retrieve_rag/smart_rag_query). This route is optional for tools/tests.,2,2,2026-04-07
api_status,/api/status,endpoint,faithh_professional_backend_fixed.py,2026-04-05,Legacy alias: same JSON as faithh_status inside GET /api/plc/state. In-repo clients use PLC.,2,2,2026-04-07
intent_detection,intent_detection / semantic intent,module,backend/ml/semantic_intent_detector.py,2026-03-28,Supports routing hints for RAG vs direct LLM.,1,1,2026-04-07
frontend_main,faithh_pet_v4.html (API client),frontend,faithh_pet_v4.html,2026-04-07,"Main UI: PLC + faithh_status for services; chat POST /api/chat; RAG on/off = #ragToggle (sets use_rag), not /api/rag_search.",5,0,2026-04-07
api_models,/api/models,endpoint,faithh_professional_backend_fixed.py,2026-03-10,Lists available models for UI dropdown.,2,1,2026-04-07
host_windows,Windows Host (DESKTOP-JJ1SUHB),host,,2026-04-05,Specs captured from WSL2 probe (2026-04-05). CUDA_VISIBLE_DEVICES=0 in backend env targets RTX 3090.,1,2,2026-04-07
host_gen8,Gen8 (servicebox — Ubuntu 22.04),host,,2026-04-05,Live docker names from Gen8 (2026-04-05). fail2ban textfile metrics per prior change_log.,1,3,2026-04-07
gen8_prometheus,Prometheus (Gen8 — authoritative),service,~/ops/monitoring/prometheus.yml (on Gen8 servicebox),2026-04-05,Single source of truth: WSL monitoring-prometheus container removed 2026-04-05; Gen8 scrapes WSL/FAITHH/Windows via Tailscale. Dedicated job nas pending real Synology metrics IP (100.79.85.32:9100 is ,1,2,2026-04-07
nas_storage,NAS (Synology at 100.79.85.32),host,,2026-04-05,"ChromaDB v2 heartbeat at :8000. Synology node_exporter IP for a dedicated Prometheus nas job still TBD; Tailscale :9100 on 100.79.85.32 is Gen8 (servicebox), not the NAS.",0,3,2026-04-07
nas_node_exporter,NAS node_exporter (:9100),service,,2026-04-05,Exporter on NAS; Gen8 authoritative Prometheus will add job nas once scrape address is confirmed. See docs/guides/NAS_NODE_EXPORTER.md.,1,1,2026-04-07
windows_exporter,Windows Exporter (:9182),service,/mnt/c/Users/jonat/Downloads/install_windows_exporter.ps1,2026-04-05,"Runs as Windows Scheduled Task (SYSTEM, at startup), not only a Windows Service. WSL reaches via 172.24.192.1:9182; Gen8 Prometheus scrapes job windows_host at 100.115.225.100:9182.",1,1,2026-04-07
wsl_node_exporter,WSL node_exporter (:9100),service,/etc/systemd/system/node_exporter.service,2026-04-05,Native binary at /home/jonat/bin/node_exporter. Systemd service enabled; Gen8 Prometheus scrapes job=wsl_node at 100.115.225.100:9100 (WSL Tailscale).,1,1,2026-04-07
wsl_faithh,FAITHH Backend (WSL — port 5557),service,faithh_professional_backend_fixed.py,2026-04-05,"Health clean. PLC state includes project_status and recent_component_changes. /metrics scraped by Gen8 Prometheus (faithh_backend job) over Tailscale, not WSL Prometheus.",3,1,2026-04-07
wsl_ollama,Ollama (WSL — port 11434),service,,2026-04-07,qwen25-grounded-gen5-delta default. CUDA llama-server: scripts/build_llama_cpp_cuda.sh + KV benchmark doc. PolarQuant Experiment A (Python): data/kv_vectors/experiment_a_results.json.,1,2,2026-04-07
